SI,Name,Manufacturer,Location,Fuel_Type,Transmission,Owner_Type,Engine CC,Power,Seats,Mileage Km/L,Price,Year,Kilometers_Driven
3601,Audi A6 2.7 TDI,Audi,Ahmedabad,Diesel,Automatic,First,2698,179.5,5,12.4,8,2009,78000
3602,Hyundai i10 Magna 1.2 iTech SE,Hyundai,Mumbai,Petrol,Manual,First,1197,78.9,5,20.36,2.95,2011,9489
3603,Renault KWID RXT Optional,Renault,Pune,Petrol,Manual,First,799,53.3,5,25.17,3.5,2018,5000
3604,Audi A4 New 2.0 TDI Multitronic,Audi,Jaipur,Diesel,Automatic,Second,1968,140.8,5,15.2,16,2012,60000
3605,Maruti Alto 800 LXI Airbag,Maruti,Jaipur,Petrol,Manual,First,796,47.3,5,22.74,2.75,2015,50000
3606,Honda City i VTEC VX Option,Honda,Delhi,Petrol,Manual,First,1497,117.3,5,17.8,6.95,2015,53000
3607,Mercedes-Benz New C-Class C250 Avantgarde,MercedesBenz,Delhi,Petrol,Automatic,Second,1796,186,5,11.74,12.5,2011,64000
3608,Audi Q5 3.0 TDI Quattro Technology,Audi,Coimbatore,Diesel,Automatic,First,2967,241.4,5,13.22,36.83,2017,43827
3609,Volkswagen Polo 1.2 MPI Comfortline,Volkswagen,Pune,Petrol,Manual,First,1199,74,5,16.2,2.7,2011,36431
3610,Hyundai Creta 1.4 E Plus Diesel,Hyundai,Mumbai,Diesel,Manual,First,1396,88.7,5,21.38,9.9,2017,35000
3611,Honda City 1.5 V MT,Honda,Kochi,Petrol,Manual,First,1497,118,5,17,3.83,2011,94832
3612,Honda City 1.5 S MT,Honda,Coimbatore,Petrol,Manual,First,1497,118,5,17,5.25,2012,88381
3613,Maruti S Cross DDiS 320 Alpha,Maruti,Kolkata,Diesel,Manual,First,1598,118,5,22.7,7.75,2016,45194
3614,Maruti SX4 Vxi BSIV,Maruti,Mumbai,Petrol,Manual,Second,1586,103.2,5,16.51,2.46,2010,66000
3615,Maruti Swift Dzire VDI,Maruti,Kolkata,Diesel,Manual,First,1248,74,5,23.4,3.96,2014,38578
3616,Maruti Ertiga ZDI,Maruti,Chennai,Diesel,Manual,First,1248,88.8,7,20.77,8.25,2015,40000
3617,Hyundai i20 1.2 Spotz,Hyundai,Coimbatore,Petrol,Manual,First,1197,81.83,5,18.6,7.58,2018,20632
3618,Hyundai Grand i10 CRDi Magna,Hyundai,Hyderabad,Diesel,Manual,First,1120,70,5,24,3.99,2014,73042
3619,Honda City i VTEC SV,Honda,Delhi,Petrol,Manual,First,1497,117.3,5,17.4,6.25,2014,54257
3620,Skoda Rapid 1.6 TDI Elegance,Skoda,Hyderabad,Diesel,Manual,First,1598,103.5,5,20.5,5,2013,93000
3621,Mercedes-Benz E-Class E270 CDI,MercedesBenz,Hyderabad,Diesel,Automatic,Second,2987,198.5,5,11,4.65,2005,102000
3622,Hyundai Santa Fe 4WD AT,Hyundai,Coimbatore,Diesel,Automatic,First,2199,194.3,7,13.01,21.37,2016,28881
3623,Maruti Alto LXi,Maruti,Hyderabad,Petrol,Manual,First,796,46.3,5,19.7,1.75,2007,52195
3624,ISUZU D-MAX V-Cross 4X4,ISUZU,Coimbatore,Diesel,Manual,First,2499,134,5,12.4,16.09,2018,20422
3625,Hyundai Verna 1.4 CRDi GL,Hyundai,Kolkata,Diesel,Manual,First,1396,88.7,5,24.8,4.1,2012,38000
3626,Ford Figo Diesel ZXI,Ford,Coimbatore,Diesel,Manual,First,1399,68,5,20,3.56,2015,92885
3627,Honda City 1.5 S MT,Honda,Pune,Petrol,Manual,Second,1497,118,5,17,4.21,2010,43000
3628,Maruti Swift VDI BSIV W ABS,Maruti,Coimbatore,Diesel,Manual,First,1248,74,5,17.8,6.86,2016,70478
3629,Hyundai Verna 1.6 CRDi S,Hyundai,Delhi,Diesel,Manual,First,1582,126.2,5,23.9,6.6,2015,57000
3630,Hyundai Creta 1.6 SX Plus Petrol Automatic,Hyundai,Coimbatore,Petrol,Automatic,First,1591,121.3,5,13,14.35,2018,32434
3631,Ford Ecosport 1.5 DV5 MT Titanium,Ford,Hyderabad,Diesel,Manual,First,1498,89.84,5,22.7,9.5,2017,32000
3632,BMW X6 xDrive30d,BMW,Delhi,Diesel,Automatic,First,2993,241,4,11.2,21.9,2011,59000
3633,BMW 5 Series 2013-2017 520d Luxury Line,BMW,Coimbatore,Diesel,Automatic,First,1995,190,5,18.12,30.45,2016,76467
3634,Ford Figo Aspire 1.5 TDCi Ambiente,Ford,Hyderabad,Diesel,Manual,First,1498,99,5,25.83,5.1,2016,100000
3635,Hyundai Verna VTVT 1.6 AT EX,Hyundai,Pune,Petrol,Automatic,First,1591,121.3,5,17,5.44,2013,37086
3636,Ford Ikon 1.4 TDCi DuraTorq,Ford,Jaipur,Diesel,Manual,First,1399,68,5,13.8,1.6,2010,135000
3637,Audi A6 2011-2015 2.0 TDI,Audi,Kochi,Diesel,Automatic,First,1968,174.33,5,17.68,16.67,2014,54862
3638,Honda CR-V Sport,Honda,Hyderabad,Petrol,Manual,First,2354,74,5,10.8,9.5,2010,67758
3639,Hyundai i20 2015-2017 Sportz AT 1.4,Hyundai,Pune,Petrol,Automatic,First,1396,98.6,5,15,3.85,2012,56200
3640,Toyota Fortuner 2.8 4WD MT,Toyota,Kochi,Diesel,Manual,First,2755,174.5,7,14.24,10.64,2011,169006
3641,Renault KWID RXT,Renault,Bangalore,Petrol,Manual,First,799,53.3,5,25.17,3.5,2016,20229
3642,Chevrolet Spark 1.0 LT,Chevrolet,Chennai,Petrol,Manual,Third,995,62,5,18,1.1,2008,62000
3643,Hyundai Verna Transform VTVT,Hyundai,Hyderabad,Petrol,Manual,Second,1599,103.2,5,16.2,2.6,2011,51500
3644,BMW 3 Series 320d Sport Line,BMW,Hyderabad,Diesel,Automatic,First,1995,184,5,18.88,18.5,2012,69000
3645,Hyundai Santro Xing XP,Hyundai,Bangalore,Petrol,Manual,First,1086,74,5,0,1.35,2004,167000
3646,Maruti Swift Dzire VDI,Maruti,Hyderabad,Diesel,Manual,First,1248,74,5,26.59,7.95,2015,62476
3647,Hyundai Xcent 1.2 CRDi E Plus,Hyundai,Jaipur,Diesel,Manual,First,1186,73.97,5,25.4,5.49,2017,60500
3648,Honda Jazz V CVT,Honda,Mumbai,Petrol,Automatic,First,1199,88.7,5,19,6.95,2017,17978
3649,Tata Indigo LS,Tata,Jaipur,Diesel,Manual,First,1405,70,5,17,1,2008,300000
3650,Ford Fiesta Classic 1.4 Duratorq CLXI,Ford,Chennai,Diesel,Manual,Second,1399,67,5,17.8,4.45,2013,123000
3651,Maruti S-Cross Alpha DDiS 200 SH,Maruti,Kolkata,Diesel,Manual,First,1248,88.5,5,25.1,6.99,2016,45296
3652,Maruti SX4 Zxi with Leather BSIII,Maruti,Coimbatore,Petrol,Manual,First,1586,104.68,5,15.6,3.51,2008,77325
3653,Maruti Baleno Zeta Automatic,Maruti,Kochi,Petrol,Automatic,First,1197,83.1,5,21.4,7.54,2018,25858
3654,Maruti Ritz LDi,Maruti,Bangalore,Diesel,Manual,First,1248,73.94,5,23.2,3.65,2016,120000
3655,Hyundai Elantra CRDi SX AT,Hyundai,Ahmedabad,Diesel,Automatic,First,1582,126.24,5,19.5,16,2016,22000
3656,Chevrolet Spark 1.0 LT,Chevrolet,Kolkata,Petrol,Manual,First,995,62.1,5,16.2,1.4,2012,11000
3657,Hyundai i20 1.2 Spotz,Hyundai,Mumbai,Petrol,Manual,First,1197,81.83,5,18.6,6.45,2017,3900
3658,Hyundai Xcent 1.1 CRDi Base,Hyundai,Hyderabad,Diesel,Manual,First,1120,71,5,24.4,4.4,2016,106092
3659,Honda Jazz 1.2 V CVT i VTEC,Honda,Delhi,Petrol,Automatic,First,1199,88.7,5,19,5.95,2015,27000
3660,Honda Brio S MT,Honda,Ahmedabad,Petrol,Manual,First,1198,86.8,5,19.4,3.9,2013,11000
3661,Mercedes-Benz E-Class E250 CDI Avantgrade,MercedesBenz,Coimbatore,Diesel,Automatic,First,2143,201.1,5,13,35.28,2016,39753
3662,Tata Hexa XT,Tata,Pune,Diesel,Manual,First,2179,153.86,7,17.6,14.25,2017,39800
3663,Hyundai Xcent 1.1 CRDi Base,Hyundai,Pune,Diesel,Manual,First,1120,71,5,24.4,4.5,2017,73000
3664,Ford Ecosport 1.5 DV5 MT Titanium Optional,Ford,Pune,Diesel,Manual,First,1498,89.84,5,22.7,7.5,2015,55000
3665,Tata Nano XTA,Tata,Coimbatore,Petrol,Automatic,First,624,37.48,4,21.9,3.41,2017,18351
3666,Honda Brio VX,Honda,Pune,Petrol,Manual,Second,1198,86.8,5,19.4,3.25,2013,45000
3667,Maruti Ertiga SHVS ZDI Plus,Maruti,Hyderabad,Diesel,Manual,First,1248,88.5,7,24.52,8.3,2016,112200
3668,Hyundai i10 Sportz 1.2,Hyundai,Bangalore,Petrol,Manual,First,1197,78.9,5,20.36,3.45,2010,29000
3669,Hyundai Santro Xing XO,Hyundai,Hyderabad,Petrol,Manual,First,1086,74,5,17,2.1,2007,57309
3670,Mahindra XUV500 W10 2WD,Mahindra,Mumbai,Diesel,Manual,First,2179,140,7,16,11.95,2015,53392
3671,Volkswagen Vento Diesel Highline,Volkswagen,Hyderabad,Diesel,Manual,First,1598,103.6,5,20.54,4.25,2010,71000
3672,Tata Safari Storme 2012-2015 VX,Tata,Hyderabad,Diesel,Manual,First,2179,138.1,7,14,8.25,2014,93000
3673,Honda Accord 2.4 Elegance M/T,Honda,Hyderabad,Petrol,Manual,First,2354,180,5,10.2,5.95,2010,119000
3674,Maruti Eeco 7 Seater Standard,Maruti,Coimbatore,Petrol,Manual,First,1196,73,7,15.1,4.3,2016,42225
3675,Maruti Swift VDI,Maruti,Ahmedabad,Diesel,Manual,First,1248,74,5,22.9,3.9,2012,65000
3676,Maruti Baleno Zeta Automatic,Maruti,Pune,Petrol,Automatic,First,1197,83.1,5,21.4,6.41,2016,27809
3677,Mahindra XUV500 W8 2WD,Mahindra,Coimbatore,Diesel,Manual,First,2179,140,7,15.1,8.36,2015,65100
3678,Hyundai Xcent 1.2 Kappa S,Hyundai,Chennai,Petrol,Manual,First,1197,82,5,19.1,3.85,2014,51000
3679,Mercedes-Benz New C-Class C 220 CDI Style,MercedesBenz,Hyderabad,Diesel,Automatic,First,2143,167.62,5,19.27,36,2017,10000
3680,Skoda Superb 1.8 TSI MT,Skoda,Kolkata,Petrol,Manual,First,1798,160,5,13.14,7.5,2011,54895
3681,Volkswagen CrossPolo 1.5 TDI,Volkswagen,Hyderabad,Diesel,Manual,First,1498,88.73,5,20.14,5.7,2015,80768
3682,Maruti Ignis 1.2 Delta,Maruti,Kochi,Petrol,Manual,First,1197,81.8,5,20.89,5.5,2019,12076
3683,Maruti Swift VDI BSIV,Maruti,Chennai,Diesel,Manual,First,1248,74,5,25.2,5.9,2016,49000
3684,Honda City i VTEC VX Option,Honda,Mumbai,Petrol,Manual,First,1497,117.3,5,17.8,7.75,2015,42366
3685,BMW 5 Series 530d Highline Sedan,BMW,Ahmedabad,Diesel,Automatic,First,2993,235,5,11.5,18,2010,68000
3686,Skoda Laura Ambiente,Skoda,Hyderabad,Diesel,Manual,First,1896,106,5,17.5,4.4,2008,122397
3687,Volkswagen Polo GT TSI,Volkswagen,Coimbatore,Petrol,Automatic,First,1197,103.5,5,17.21,8.27,2017,50534
3688,Renault Duster 85PS Diesel RxL,Renault,Ahmedabad,Diesel,Manual,First,1461,83.8,5,19.87,4.75,2014,55300
3689,Honda City 1.5 S AT,Honda,Hyderabad,Petrol,Automatic,First,1497,118,5,16.8,3.8,2008,73095
3690,Volkswagen Vento Diesel Highline,Volkswagen,Ahmedabad,Diesel,Manual,First,1598,103.6,5,20.54,3.4,2011,51100
3691,Hyundai Grand i10 Sportz,Hyundai,Pune,Petrol,Manual,Second,1197,82,5,18.9,4.7,2016,13436
3692,Ford Fiesta 1.4 ZXi Duratec,Ford,Pune,Petrol,Manual,Second,1388,68,5,16.6,1.49,2008,76000
3693,Hyundai Xcent 1.1 CRDi S,Hyundai,Mumbai,Diesel,Manual,Second,1120,71,5,24.4,4.5,2016,63141
3694,Honda Amaze VX i-DTEC,Honda,Hyderabad,Diesel,Manual,First,1498,98.6,5,25.8,5.4,2014,74885
3695,Honda City i VTEC CVT VX,Honda,Hyderabad,Petrol,Automatic,First,1497,117.3,5,18,11.5,2016,14000
3696,Renault Fluence 1.5,Renault,Pune,Diesel,Manual,Second,1461,108.5,5,20.4,3.5,2012,56000
3697,BMW 5 Series 520d Luxury Line,BMW,Ahmedabad,Diesel,Automatic,First,1995,190,5,22.48,16.5,2010,46000
3698,Maruti SX4 ZXI MT BSIV,Maruti,Mumbai,Petrol,Manual,First,1586,103.3,5,15.5,3.9,2012,51800
3699,Honda City ZX CVT,Honda,Hyderabad,Petrol,Automatic,First,1497,78,5,16.4,3.25,2007,81000
3700,Volkswagen Ameo 1.2 MPI Comfortline,Volkswagen,Kochi,Petrol,Manual,First,1198,73.75,5,17,5.84,2018,17370
3701,Volkswagen Ameo 1.2 MPI Comfortline,Volkswagen,Hyderabad,Petrol,Manual,First,1198,73.75,5,17,5.75,2016,18456
3702,Audi A4 2.0 TDI Multitronic,Audi,Delhi,Diesel,Automatic,First,1968,140,5,16.55,10,2010,59000
3703,Maruti Wagon R VXI,Maruti,Mumbai,Petrol,Manual,Second,998,67.1,5,18.9,1.05,2006,141537
3704,Hyundai Verna SX CRDi AT,Hyundai,Delhi,Diesel,Automatic,First,1582,126.32,5,19.08,5.64,2013,51000
3705,Mercedes-Benz GLC 220d 4MATIC Style,MercedesBenz,Coimbatore,Diesel,Automatic,First,2143,170,5,17.9,50.97,2019,29311
3706,BMW 3 Series Luxury Line,BMW,Mumbai,Diesel,Automatic,First,1995,190,5,21.76,29.95,2016,31000
3707,Honda Mobilio V Option i DTEC,Honda,Mumbai,Diesel,Manual,Second,1498,98.6,7,24.2,4.85,2014,80000
3708,Hyundai Creta 1.6 CRDi AT SX Plus,Hyundai,Hyderabad,Diesel,Automatic,First,1582,126.2,5,17.01,14.5,2016,33000
3709,Honda City 1.5 S MT,Honda,Hyderabad,Petrol,Manual,First,1497,118,5,17,5.5,2011,71556
3710,Ford Fiesta 1.4 TDCi EXI,Ford,Bangalore,Diesel,Manual,First,1399,68,5,17.8,3.2,2011,85000
3711,Maruti Swift Dzire LDI,Maruti,Chennai,Diesel,Manual,First,1248,74,5,26.59,4.5,2016,91000
3712,Mercedes-Benz E-Class E250 CDI Launch Edition,MercedesBenz,Coimbatore,Diesel,Automatic,First,2143,204,5,13,30.72,2015,73187
3713,Chevrolet Captiva LT,Chevrolet,Jaipur,Diesel,Manual,First,1991,147.9,7,11.5,3.5,2009,232000
3714,Toyota Innova 2.5 V Diesel 7-seater,Toyota,Bangalore,Diesel,Manual,First,2494,102,7,12.8,6.99,2007,127079
3715,Mahindra Quanto C8,Mahindra,Kochi,Diesel,Manual,First,1493,100,7,17.21,3.45,2014,58816
3716,Honda City i VTEC V,Honda,Kochi,Petrol,Manual,First,1497,117.3,5,17.4,6.57,2015,63818
3717,Audi A4 2.0 TDI 177 Bhp Premium Plus,Audi,Kolkata,Diesel,Automatic,First,1968,174.33,5,17.11,17.5,2014,40000
3718,Volkswagen Polo Diesel Comfortline 1.2L,Volkswagen,Delhi,Diesel,Manual,First,1199,73.9,5,22.07,3.75,2013,77445
3719,Ford EcoSport 1.5 Petrol Titanium Plus AT,Ford,Pune,Petrol,Automatic,First,1497,121.36,5,14.8,9.99,2017,14000
3720,Toyota Innova 2.5 G (Diesel) 7 Seater BS IV,Toyota,Kolkata,Diesel,Manual,First,2494,100,7,12.99,8.2,2012,85122
3721,Honda City 1.5 EXI,Honda,Jaipur,Petrol,Manual,Third,1493,100,5,13,1.1,2005,123000
3722,Maruti SX4 Green Vxi (CNG),Maruti,Kochi,CNG,Manual,First,1586,85.7,5,22.1,3.89,2015,61000
3723,Maruti Alto 800 2016-2019 LXI Optional,Maruti,Chennai,Petrol,Manual,First,796,47.3,5,24.7,2.45,2015,63714
3724,Mercedes-Benz M-Class ML 320 CDI,MercedesBenz,Pune,Diesel,Automatic,First,2987,224.34,5,8.7,13.75,2009,53000
3725,Maruti Swift Dzire LDI,Maruti,Kolkata,Diesel,Manual,First,1248,74,5,26.59,3,2017,60000
3726,Maruti Vitara Brezza ZDi Plus Dual Tone,Maruti,Ahmedabad,Diesel,Manual,First,1248,88.5,5,24.3,9.25,2017,33000
3727,Volvo S60 D5 Summum,Volvo,Mumbai,Diesel,Automatic,First,2400,215,5,13.2,17.65,2013,31000
3728,Toyota Fortuner 4x2 AT,Toyota,Delhi,Diesel,Automatic,First,2982,168.5,7,12.55,18.25,2014,79000
3729,Hyundai i20 Sportz Option Diesel,Hyundai,Kochi,Diesel,Manual,First,1396,90,5,23,3.45,2013,67914
3730,Audi A4 35 TDI Premium,Audi,Bangalore,Diesel,Automatic,First,1968,174.33,5,17.11,23.75,2015,58970
3731,Nissan Terrano XV D Pre,Nissan,Mumbai,Diesel,Manual,Second,1461,108.5,5,19.64,5.45,2013,60000
3732,Maruti Celerio ZXI AMT,Maruti,Coimbatore,Petrol,Automatic,First,998,67.04,5,23.1,5.25,2017,35225
3733,Maruti Esteem Vxi,Maruti,Delhi,Petrol,Manual,First,1298,74,5,15.9,1.1,2005,69496
3734,Hyundai i10 Sportz AT,Hyundai,Delhi,Petrol,Automatic,First,1197,78.9,5,16.95,2.9,2012,62282
3735,BMW 3 Series 320d,BMW,Hyderabad,Diesel,Automatic,First,1995,190,5,22.69,14.2,2010,80000
3736,Hyundai Grand i10 Sportz,Hyundai,Kochi,Petrol,Manual,First,1197,82,5,18.9,5.8,2018,43698
3737,Hyundai Grand i10 Asta Option AT,Hyundai,Coimbatore,Petrol,Automatic,First,1197,82,5,18.9,7.22,2017,28052
3738,Hyundai Grand i10 1.2 Kappa Sportz,Hyundai,Coimbatore,Petrol,Manual,First,1197,81.86,5,18.9,4.87,2016,29091
3739,Volkswagen Polo 1.2 MPI Comfortline,Volkswagen,Delhi,Petrol,Manual,First,1198,74,5,16.47,3.3,2013,63000
3740,Honda City ZX EXi,Honda,Hyderabad,Petrol,Manual,Second,1497,78,5,17.7,3,2007,91000
3741,Mercedes-Benz GLA Class 200 CDI,MercedesBenz,Hyderabad,Diesel,Automatic,First,2143,136,5,17.9,26,2014,30000
3742,Maruti Omni 8 Seater BSIV,Maruti,Hyderabad,Petrol,Manual,First,796,35,5,14,2.9,2017,24571
3743,Hyundai Verna 1.6 SX VTVT AT,Hyundai,Bangalore,Petrol,Automatic,First,1591,121.3,5,15.74,7.5,2014,45000
3744,Maruti Alto 800 LXI,Maruti,Hyderabad,Petrol,Manual,First,796,47.3,5,22.74,2.36,2015,24617
3745,Maruti Vitara Brezza ZDi Plus Dual Tone,Maruti,Coimbatore,Diesel,Manual,First,1248,88.5,5,24.3,11.39,2017,26927
3746,Mahindra XUV500 W8 2WD,Mahindra,Kochi,Diesel,Manual,First,2179,140,7,15.1,7.02,2013,87736
3747,Maruti Vitara Brezza ZDi,Maruti,Delhi,Diesel,Manual,First,1248,88.5,5,24.3,8,2016,35299
3748,Hyundai i20 1.2 Spotz,Hyundai,Kochi,Petrol,Manual,First,1197,81.83,5,18.6,7.11,2017,51612
3749,Mercedes-Benz E-Class 250 D W 210,MercedesBenz,Mumbai,Diesel,Automatic,First,1796,157.7,5,10,3.9,1998,55300
3750,Maruti Alto LXi,Maruti,Hyderabad,Petrol,Manual,First,796,46.3,5,19.7,2.15,2009,65090
3751,Honda Amaze S i-Vtech,Honda,Kolkata,Petrol,Manual,First,1198,86.7,5,18,3.25,2013,40000
3752,Land Rover Range Rover Sport HSE,Land,Kochi,Diesel,Automatic,First,2993,255,5,12.65,70.66,2015,38467
3753,Hyundai Grand i10 CRDi Magna,Hyundai,Mumbai,Diesel,Manual,First,1120,70,5,24,4.61,2013,71904
3754,Honda Civic 2006-2010 1.8 S MT,Honda,Mumbai,Petrol,Manual,First,1799,130,5,13.5,2.35,2008,87000
3755,Hyundai Grand i10 CRDi Magna,Hyundai,Chennai,Diesel,Manual,Second,1120,70,5,24,4.05,2014,33000
3756,Maruti 800 AC Uniq,Maruti,Jaipur,Petrol,Manual,Second,796,37,4,16.1,0.8,2009,22100
3757,Toyota Etios Liva Diesel,Toyota,Hyderabad,Diesel,Manual,First,1364,67.1,5,23.59,5.6,2014,59589
3758,Hyundai i20 Magna 1.4 CRDi,Hyundai,Delhi,Diesel,Manual,First,1396,88.73,5,22.54,5.35,2015,44000
3759,Maruti Alto K10 VXI,Maruti,Mumbai,Petrol,Manual,First,998,67.1,5,24.07,3.25,2017,12000
3760,BMW X1 sDrive20d,BMW,Pune,Diesel,Automatic,Second,1995,184,5,17.05,11.5,2012,66000
3761,Maruti Celerio VXI AT,Maruti,Pune,Petrol,Automatic,First,998,67.04,5,23.1,4.25,2016,38009
3762,Skoda Superb Elegance 1.8 TSI AT,Skoda,Mumbai,Petrol,Automatic,Second,1798,157.75,5,13.7,4.45,2009,35000
3763,Mahindra Xylo E4,Mahindra,Pune,Diesel,Manual,First,2498,112,7,14,2.85,2009,70000
3764,Mahindra XUV500 W8 2WD,Mahindra,Delhi,Diesel,Manual,First,2179,140,7,15.1,7.85,2014,86000
3765,Maruti Swift Dzire VXI,Maruti,Pune,Petrol,Manual,First,1197,85.8,5,19.1,5.3,2016,32000
3766,Ford Ecosport 1.0 Ecoboost Platinum Edition,Ford,Mumbai,Petrol,Manual,First,999,123.24,5,18.88,8,2017,15000
3767,Toyota Corolla Altis Diesel D4DG,Toyota,Coimbatore,Diesel,Manual,First,1364,87.2,5,21.43,9.43,2014,69918
3768,Hyundai i20 2015-2017 1.2 Magna,Hyundai,Pune,Petrol,Manual,First,1197,80,5,18.5,2.75,2012,39000
3769,Renault Captur 1.5 Diesel Platine Mono,Renault,Mumbai,Diesel,Manual,First,1461,108.45,5,20.37,13.5,2018,1011
3770,Mercedes-Benz E-Class 280 CDI,MercedesBenz,Hyderabad,Diesel,Automatic,First,2987,198.5,5,11,9.99,2009,85000
3771,Maruti Baleno RS 1.0 Petrol,Maruti,Chennai,Petrol,Manual,First,998,100,5,21.1,6.95,2017,46663
3772,Nissan Sunny 2011-2014 XL AT Special Edition,Nissan,Chennai,Petrol,Automatic,First,1498,99.6,5,17.97,6.75,2015,27000
3773,Hyundai Grand i10 AT Asta,Hyundai,Chennai,Petrol,Automatic,First,1197,82,5,18.9,5.5,2015,15000
3774,Maruti Ciaz Zeta,Maruti,Kochi,Petrol,Manual,First,1462,103.25,5,21.56,9.18,2018,10575
3775,Hyundai Xcent 1.2 Kappa S,Hyundai,Jaipur,Petrol,Manual,First,1197,82,5,19.1,4.15,2014,12500
3776,Hyundai Verna 1.6 SX CRDi (O),Hyundai,Ahmedabad,Diesel,Manual,First,1582,126.32,5,22.32,6.5,2012,52000
3777,Maruti Wagon R VXI 1.2,Maruti,Kochi,Petrol,Manual,First,1197,81.8,5,21.5,4.11,2015,49818
3778,Hyundai Verna CRDi,Hyundai,Hyderabad,Diesel,Manual,Second,1493,110,5,16.8,2.25,2008,90000
3779,Toyota Etios Liva G,Toyota,Kochi,Petrol,Manual,First,1197,78.9,5,17.71,4.56,2015,52207
3780,Mahindra Xylo E4 ABS BS III,Mahindra,Pune,Diesel,Manual,First,2498,112,7,11.68,4,2013,167362
3781,Toyota Etios Liva GD,Toyota,Coimbatore,Diesel,Manual,First,1364,67.06,5,23.59,5.27,2015,49894
3782,Mahindra Thar DI 4X4,Mahindra,Kochi,Diesel,Manual,First,2523,63,7,18.06,9.11,2019,13024
3783,Nissan X-Trail SLX MT,Nissan,Pune,Diesel,Manual,Second,1995,147.6,5,14.42,6.2,2010,128000
3784,Toyota Innova Crysta 2.8 ZX AT,Toyota,Kochi,Diesel,Automatic,First,2755,171.5,7,11.36,19.97,2017,26023
3785,Hyundai Creta 1.4 CRDi S,Hyundai,Delhi,Diesel,Manual,First,1396,88.7,5,21.38,10.17,2016,42784
3786,Maruti Swift VDI,Maruti,Pune,Diesel,Manual,First,1248,74,5,28.4,4.5,2014,115000
3787,Hyundai Verna 1.6 CRDI SX Option,Hyundai,Kochi,Diesel,Manual,First,1582,126.2,5,23.9,14.28,2019,30529
3788,Maruti Alto LXi BSIII,Maruti,Kochi,Petrol,Manual,Second,796,46.3,5,19.7,2.47,2012,14814
3789,Maruti S Cross DDiS 200 Alpha,Maruti,Ahmedabad,Diesel,Manual,First,1248,88.5,5,23.65,7.9,2016,58000
3790,Hyundai EON Era,Hyundai,Hyderabad,Petrol,Manual,First,814,55.2,5,21.1,2.3,2011,68128
3791,Nissan Terrano XL,Nissan,Hyderabad,Petrol,Manual,First,1598,102.5,5,13.24,6.5,2013,63220
3792,Hyundai EON Era,Hyundai,Hyderabad,Petrol,Manual,First,814,55.2,5,21.1,3.25,2016,30000
3793,Tata Zest Quadrajet 1.3 XT,Tata,Bangalore,Diesel,Manual,First,1248,88.7,5,20.65,5.85,2017,27768
3794,Mercedes-Benz E-Class 2009-2013 E250 CDI Elegance,MercedesBenz,Hyderabad,Diesel,Automatic,Second,2143,203,5,14.21,29,2014,53000
3795,Audi Q5 2.0 TDI Premium Plus,Audi,Coimbatore,Diesel,Automatic,Second,1968,174.3,5,14.16,25.71,2014,87652
3796,Ford Fiesta 1.6 ZXi Leather,Ford,Chennai,Petrol,Manual,Second,1596,101,5,15.3,1.85,2008,94873
3797,BMW 3 Series 320d Prestige,BMW,Mumbai,Diesel,Automatic,First,1995,184,5,18.88,22.75,2015,56000
3798,Maruti Baleno RS 1.0 Petrol,Maruti,Kochi,Petrol,Manual,First,998,100,5,21.1,8.32,2018,18678
3799,Mercedes-Benz E-Class 2009-2013 E250 CDI Blue Efficiency,MercedesBenz,Delhi,Diesel,Automatic,First,2143,203,5,14.21,26,2014,30000
3801,Hyundai i10 Sportz 1.2,Hyundai,Hyderabad,Petrol,Manual,First,1197,78.9,5,20.36,3.45,2013,59000
3802,Hyundai Grand i10 Asta Option,Hyundai,Mumbai,Petrol,Manual,First,1197,82,5,18.9,5.15,2017,13000
3803,Honda Brio S MT,Honda,Kochi,Petrol,Manual,First,1198,86.8,5,19.4,3.51,2014,74325
3804,Hyundai i20 Magna 1.4 CRDi (Diesel),Hyundai,Kolkata,Diesel,Manual,First,1396,88.76,5,21.9,3.45,2015,45000
3805,Volkswagen Polo Petrol Highline 1.2L,Volkswagen,Pune,Petrol,Manual,First,1198,73.9,5,16.47,3.75,2013,57000
3806,Honda City 1.5 EXI,Honda,Pune,Petrol,Manual,Second,1493,100,5,13,1.45,2001,125943
3807,Skoda Octavia Ambiente 1.9 TDI,Skoda,Delhi,Diesel,Manual,First,1896,66,5,18.7,2.2,2008,80000
3808,Ford Endeavour 2.5L 4X2,Ford,Hyderabad,Diesel,Manual,First,2499,141,7,13.1,7.99,2010,154000
3809,Chevrolet Cruze LTZ,Chevrolet,Bangalore,Diesel,Manual,Second,1991,147.9,5,18.3,6.75,2013,62000
3811,Honda Mobilio V i DTEC,Honda,Kolkata,Diesel,Manual,First,1498,98.6,7,24.2,5,2014,45000
3812,Maruti Ertiga VDI,Maruti,Pune,Diesel,Manual,Second,1248,88.76,7,20.77,5.9,2012,105000
3813,Hyundai Grand i10 Sportz,Hyundai,Mumbai,Petrol,Manual,First,1197,82,5,18.9,3.75,2013,26000
3814,Jaguar XF 3.0 Litre S Premium Luxury,Jaguar,Mumbai,Diesel,Automatic,First,2993,270.9,5,14.74,29.5,2014,30900
3815,Honda Amaze VX i-Vtech,Honda,Chennai,Petrol,Manual,First,1198,86.7,5,18,4.75,2014,48000
3816,Audi A6 2.7 TDI,Audi,Pune,Diesel,Automatic,First,2698,179.5,5,12.4,11.5,2011,112719
